Transaction_ID,Timestamp,Amount,Payment_Method,IP_Address,Location,Device_Info,Label
100000,2024-01-01 00:00:00,46.93,Credit Card,192.168.41.233,"Sydney, Australia",iPhone 12,Legitimate
100001,2024-01-01 00:01:00,301.01,PayPal,192.168.198.179,"Sydney, Australia",Windows 10 PC,Legitimate
100002,2024-01-01 00:02:00,131.67,Debit Card,192.168.173.216,"Sydney, Australia",MacBook Pro,Legitimate
100003,2024-01-01 00:03:00,91.29,Credit Card,192.168.253.39,"Tokyo, Japan",Windows 10 PC,Legitimate
100004,2024-01-01 00:04:00,16.96,Debit Card,192.168.185.232,"New York, USA",MacBook Pro,Legitimate
100005,2024-01-01 00:05:00,16.96,Credit Card,192.168.23.68,"New York, USA",MacBook Pro,Legitimate
100006,2024-01-01 00:06:00,5.98,Credit Card,192.168.248.84,"New York, USA",iPhone 12,Legitimate
100007,2024-01-01 00:07:00,201.12,Credit Card,192.168.167.147,"Berlin, Germany",Android Pixel 6,Legitimate
100008,2024-01-01 00:08:00,91.91,Net Banking,192.168.28.36,"Tokyo, Japan",iPhone 12,Legitimate
100009,2024-01-01 00:09:00,123.13,Net Banking,192.168.250.19,"Sydney, Australia",iPhone 12,Legitimate
100010,2024-01-01 00:10:00,2.08,Credit Card,192.168.145.3,"Berlin, Germany",Android Pixel 6,Legitimate
100011,2024-01-01 00:11:00,350.36,Credit Card,192.168.138.254,"Tokyo, Japan",Android Pixel 6,Legitimate
100012,2024-01-01 00:12:00,178.64,Credit Card,192.168.244.191,"Sydney, Australia",Android Pixel 6,Legitimate
100013,2024-01-01 00:13:00,23.87,Credit Card,192.168.85.51,"New York, USA",iPhone 12,Legitimate
100014,2024-01-01 00:14:00,20.07,PayPal,192.168.42.141,"New York, USA",Windows 10 PC,Legitimate
100015,2024-01-01 00:15:00,20.26,PayPal,192.168.121.172,"New York, USA",Windows 10 PC,Legitimate
100016,2024-01-01 00:16:00,36.28,PayPal,192.168.155.131,"Mumbai, India",iPhone 12,Legitimate
100017,2024-01-01 00:17:00,74.39,Net Banking,192.168.143.165,"New York, USA",Android Pixel 6,Legitimate
100018,2024-01-01 00:18:00,56.55,Debit Card,192.168.190.150,"Sydney, Australia",iPhone 12,Legitimate
100019,2024-01-01 00:19:00,34.42,Credit Card,192.168.76.246,"Berlin, Germany",Windows 10 PC,Legitimate
100020,2024-01-01 00:20:00,94.64,PayPal,192.168.147.196,"Berlin, Germany",Android Pixel 6,Legitimate
100021,2024-01-01 00:21:00,15.02,PayPal,192.168.254.82,"Mumbai, India",iPhone 12,Legitimate
100022,2024-01-01 00:22:00,34.55,PayPal,192.168.148.169,"Mumbai, India",Windows 10 PC,Fraudulent
100023,2024-01-01 00:23:00,45.63,Credit Card,192.168.68.13,"Sydney, Australia",Android Pixel 6,Fraudulent
100024,2024-01-01 00:24:00,60.89,Credit Card,192.168.227.69,"Tokyo, Japan",Android Pixel 6,Legitimate
100025,2024-01-01 00:25:00,153.79,Debit Card,192.168.4.151,"Mumbai, India",Samsung Galaxy S21,Legitimate
100026,2024-01-01 00:26:00,22.27,Net Banking,192.168.220.156,"Mumbai, India",Android Pixel 6,Legitimate
100027,2024-01-01 00:27:00,72.2,Debit Card,192.168.1.5,"Sydney, Australia",Windows 10 PC,Legitimate
100028,2024-01-01 00:28:00,89.75,Credit Card,192.168.33.203,"Berlin, Germany",Windows 10 PC,Legitimate
100029,2024-01-01 00:29:00,4.76,Debit Card,192.168.21.131,"Sydney, Australia",MacBook Pro,Legitimate
100030,2024-01-01 00:30:00,93.53,PayPal,192.168.236.112,"New York, USA",Windows 10 PC,Legitimate
100031,2024-01-01 00:31:00,18.7,Debit Card,192.168.133.66,"Tokyo, Japan",Windows 10 PC,Legitimate
100032,2024-01-01 00:32:00,6.73,PayPal,192.168.76.190,"Mumbai, India",Windows 10 PC,Legitimate
100033,2024-01-01 00:33:00,297.37,Debit Card,192.168.214.226,"Tokyo, Japan",Android Pixel 6,Legitimate
100034,2024-01-01 00:34:00,337.06,PayPal,192.168.89.115,"Sydney, Australia",MacBook Pro,Legitimate
100035,2024-01-01 00:35:00,165.23,Debit Card,192.168.200.86,"Berlin, Germany",MacBook Pro,Legitimate
100036,2024-01-01 00:36:00,36.33,Net Banking,192.168.67.161,"Tokyo, Japan",iPhone 12,Legitimate
